,Unnamed: 0,地点,位置,O2,CODMn,NH3_N,PH,Unnamed: 7,Unnamed: 8,Unnamed: 9
203,204,江苏扬州三江营 ,夹江（南水北调取水口） ,7.19 ,6.65 ,4.1 ,0.38 ,Ⅲ ,Ⅱ ,  
204,205,四川攀枝花龙洞,干流,8.1 ,8.79 ,2.5 ,0.04 ,Ⅱ ,Ⅲ ,  
205,206,重庆朱沱 ,干流（川-渝省界） ,7.53 ,7.86 ,3 ,0.18 ,Ⅱ ,Ⅱ ,  
206,207,湖北宜昌南津关 ,干流（三峡水库出口） ,7.97 ,7.96 ,3.8 ,0.34 ,Ⅱ ,Ⅱ ,  
207,208,湖南岳阳城陵矶 ,干流 ,7.74 ,8.09 ,3.5 ,0.35 ,Ⅱ ,Ⅱ ,  
208,209,江西九江河西水厂 ,干流（鄂-赣省界） ,7.25 ,7.26 ,2.6 ,0.15 ,Ⅱ ,Ⅱ ,  
209,210,安徽安庆皖河口 ,干流 ,7.3 ,6.38 ,1.6 ,0.17 ,Ⅱ ,Ⅱ ,  
210,211,江苏南京林山 ,干流（皖-苏省界） ,7.36 ,6.19 ,2 ,0.06 ,Ⅱ ,Ⅱ ,  
211,212,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.83 ,5.82 ,4.5 ,0.65 ,Ⅲ ,Ⅳ ,  
212,213,四川宜宾凉姜沟 ,岷江（入长江前） ,8.04 ,8.78 ,3.3 ,0.07 ,Ⅱ ,Ⅱ ,  
213,214,四川泸州沱江二桥 ,沱江（入长江前） ,7.6 ,6.39 ,3.8 ,0.28 ,Ⅱ ,Ⅳ ,  
214,215,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.4 ,10.1 ,1.5 ,0.12 ,Ⅰ ,Ⅰ ,  
215,216,湖南长沙新港 ,湘江（洞庭湖入口） ,6.72 ,7.02 ,4.8 ,0.98 ,Ⅲ ,Ⅳ ,  
216,217,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.02 ,8.14 ,7.3 ,0.38 ,Ⅳ ,Ⅱ ,高锰酸盐指数 
217,218,湖北武汉宗关 ,汉江（入长江前） ,7.88 ,5.75 ,3.6 ,0.21 ,Ⅲ ,Ⅱ ,  
218,219,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.84 ,5.06 ,0.8 ,2.53 ,劣Ⅴ ,Ⅳ ,氨氮 
219,220,江西九江蛤蟆石 ,鄱阳湖出口 ,7.31 ,6.85 ,2.1 ,0.19 ,Ⅱ ,Ⅲ ,  
220,221,江苏扬州三江营 ,夹江（南水北调取水口） ,7.16 ,6.61 ,3.8 ,0.32 ,Ⅱ ,Ⅲ ,  
221,222,四川攀枝花龙洞,干流,8.01 ,8.46 ,2.4 ,0.04 ,Ⅱ ,Ⅱ ,  
222,223,重庆朱沱 ,干流（川-渝省界） ,7.66 ,7.72 ,3.3 ,0.18 ,Ⅱ ,Ⅱ ,  
223,224,湖北宜昌南津关 ,干流（三峡水库出口） ,7.94 ,7.82 ,3.2 ,0.16 ,Ⅱ ,Ⅱ ,  
224,225,湖南岳阳城陵矶 ,干流 ,7.66 ,8.46 ,4.2 ,0.36 ,Ⅲ ,Ⅱ ,  
225,226,江西九江河西水厂 ,干流（鄂-赣省界） ,7.31 ,6.88 ,2.6 ,0.16 ,Ⅱ ,Ⅱ ,  
226,227,安徽安庆皖河口 ,干流 ,7.19 ,6.04 ,1.7 ,0.22 ,Ⅱ ,Ⅱ ,  
227,228,江苏南京林山 ,干流（皖-苏省界） ,7.45 ,5.88 ,1.8 ,0.05 ,Ⅲ ,Ⅱ ,  
228,229,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.6 ,5.33 ,4.6 ,1.03 ,Ⅳ ,Ⅲ ,氨氮 
229,230,四川宜宾凉姜沟 ,岷江（入长江前） ,7.78 ,7.96 ,4.6 ,0.15 ,Ⅲ ,Ⅱ ,  
230,231,四川泸州沱江二桥 ,沱江（入长江前） ,7.45 ,7.47 ,5.2 ,0.14 ,Ⅲ ,Ⅱ ,  
231,232,湖北丹江口胡家岭 ,丹江口水库（库体） ,7.95 ,9.31 ,1.7 ,0.09 ,Ⅰ ,Ⅰ ,  
232,233,湖南长沙新港 ,湘江（洞庭湖入口） ,7.24 ,7.62 ,4 ,0.96 ,Ⅲ ,Ⅲ ,  
233,234,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.93 ,7.86 ,6.5 ,0.34 ,Ⅳ ,Ⅳ ,高锰酸盐指数 
234,235,湖北武汉宗关 ,汉江（入长江前） ,7.9 ,5.86 ,2.7 ,0.19 ,Ⅲ ,Ⅲ ,  
235,236,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.68 ,5.54 ,0.4 ,1.19 ,Ⅳ ,劣Ⅴ ,氨氮 
236,237,江西九江蛤蟆石 ,鄱阳湖出口 ,7.38 ,6.85 ,2.1 ,0.22 ,Ⅱ ,Ⅱ ,  
237,238,江苏扬州三江营 ,夹江（南水北调取水口） ,7.1 ,7.46 ,3.9 ,0.28 ,Ⅱ ,Ⅱ ,  
238,239,四川攀枝花龙洞,干流,8.33 ,13.9 ,5.8 ,1 ,Ⅲ ,Ⅱ ,  
239,240,重庆朱沱 ,干流（川-渝省界） ,7.54 ,7.75 ,2 ,0.17 ,Ⅱ ,Ⅱ ,  
240,241,湖北宜昌南津关 ,干流（三峡水库出口） ,7.63 ,6.94 ,3.1 ,0.19 ,Ⅱ ,Ⅱ ,  
241,242,湖南岳阳城陵矶 ,干流 ,7.42 ,8.26 ,4 ,0.33 ,Ⅱ ,Ⅲ ,  
242,243,江西九江河西水厂 ,干流（鄂-赣省界） ,7.28 ,6.28 ,2.3 ,0.24 ,Ⅱ ,Ⅱ ,  
243,244,安徽安庆皖河口 ,干流 ,7.09 ,6 ,1.9 ,0.16 ,Ⅱ ,Ⅱ ,  
244,245,江苏南京林山 ,干流（皖-苏省界） ,7.66 ,6.35 ,1.7 ,0.05 ,Ⅱ ,Ⅲ ,  
245,246,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.44 ,5.78 ,3.1 ,0.25 ,Ⅲ ,Ⅳ ,  
246,247,四川宜宾凉姜沟 ,岷江（入长江前） ,8.26 ,8.3 ,2.2 ,0.11 ,Ⅱ ,Ⅲ ,  
247,248,四川泸州沱江二桥 ,沱江（入长江前） ,7.16 ,8.1 ,0.6 ,0.04 ,Ⅰ ,Ⅲ ,  
248,249,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.52 ,7.5 ,2 ,0.08 ,Ⅰ ,Ⅰ ,  
249,250,湖南长沙新港 ,湘江（洞庭湖入口） ,6.73 ,7.15 ,0.9 ,0.76 ,Ⅲ ,Ⅲ ,  
250,251,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.88 ,8.38 ,4.9 ,0.31 ,Ⅲ ,Ⅳ ,  
251,252,湖北武汉宗关 ,汉江（入长江前） ,8.03 ,6.85 ,3.8 ,0.18 ,Ⅱ ,Ⅲ ,  
252,253,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.67 ,4.88 ,2.7 ,1.62 ,Ⅴ ,Ⅳ ,氨氮 
253,254,江西九江蛤蟆石 ,鄱阳湖出口 ,7.33 ,6.82 ,2.5 ,0.21 ,Ⅱ ,Ⅱ ,  
254,255,江苏扬州三江营 ,夹江（南水北调取水口） ,7.73 ,6.68 ,5.2 ,0.48 ,Ⅲ ,Ⅱ ,  
255,256,四川攀枝花龙洞,干流,8.61 ,9.42 ,6.1 ,0.09 ,Ⅳ ,Ⅲ ,高锰酸盐指数 
256,257,重庆朱沱 ,干流（川-渝省界） ,7.83 ,8.42 ,4.4 ,0.16 ,Ⅲ ,Ⅱ ,  
257,258,湖北宜昌南津关 ,干流（三峡水库出口） ,7.54 ,7.56 ,3.4 ,0.29 ,Ⅱ ,Ⅱ ,  
258,259,湖南岳阳城陵矶 ,干流 ,7.9 ,8.56 ,3.9 ,0.3 ,Ⅱ ,Ⅱ ,  
259,260,江西九江河西水厂 ,干流（鄂-赣省界） ,7.27 ,6.4 ,1.9 ,0.25 ,Ⅱ ,Ⅱ ,  
260,261,安徽安庆皖河口 ,干流 ,7.16 ,6.77 ,1.6 ,0.14 ,Ⅱ ,Ⅱ ,  
261,262,江苏南京林山 ,干流（皖-苏省界） ,7.71 ,6.43 ,2.3 ,0.08 ,Ⅱ ,Ⅱ ,  
262,263,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.44 ,5.76 ,2.9 ,0.3 ,Ⅲ ,Ⅲ ,  
263,264,四川宜宾凉姜沟 ,岷江（入长江前） ,8.13 ,8.5 ,2.5 ,0.07 ,Ⅱ ,Ⅱ ,  
264,265,四川泸州沱江二桥 ,沱江（入长江前） ,7.19 ,7.99 ,1.1 ,0.03 ,Ⅰ ,Ⅰ ,  
265,266,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.4 ,7.38 ,1.5 ,0.08 ,Ⅱ ,Ⅰ ,  
266,267,湖南长沙新港 ,湘江（洞庭湖入口） ,6.64 ,7.24 ,1.7 ,0.37 ,Ⅱ ,Ⅲ ,  
267,268,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.33 ,8.03 ,3.6 ,0.31 ,Ⅱ ,Ⅲ ,  
268,269,湖北武汉宗关 ,汉江（入长江前） ,8 ,6.87 ,2.7 ,0.18 ,Ⅱ ,Ⅱ ,  
269,270,江西南昌滁槎 ,赣江（鄱阳湖入口） ,6.65 ,4.97 ,3.4 ,0.63 ,Ⅳ ,Ⅴ ,溶解氧 
270,271,江西九江蛤蟆石 ,鄱阳湖出口 ,7.57 ,6.92 ,1.8 ,0.2 ,Ⅱ ,Ⅱ ,
271,272,江苏扬州三江营 ,夹江（南水北调取水口） ,7.79 ,6.77 ,5 ,0.31 ,Ⅲ ,Ⅲ ,
272,273,四川攀枝花龙洞,干流,7.25 ,9.72 ,0.8 ,0.08 ,Ⅰ ,Ⅳ ,  
273,274,重庆朱沱 ,干流（川-渝省界） ,8.37 ,9.17 ,1.6 ,0.23 ,Ⅱ ,Ⅲ ,  
274,275,湖北宜昌南津关 ,干流（三峡水库出口） ,8.04 ,8.4 ,3.7 ,0.23 ,Ⅱ ,Ⅱ ,  
275,276,湖南岳阳城陵矶 ,干流 ,8.16 ,8 ,3.5 ,0.36 ,Ⅱ ,Ⅱ ,  
276,277,江西九江河西水厂 ,干流（鄂-赣省界） ,7.51 ,7.54 ,1.9 ,0.19 ,Ⅱ ,Ⅱ ,  
277,278,安徽安庆皖河口 ,干流 ,7.48 ,6.06 ,2.1 ,0.17 ,Ⅱ ,Ⅱ ,  
278,279,江苏南京林山 ,干流（皖-苏省界） ,7.82 ,6.14 ,1.9 ,0.04 ,Ⅱ ,Ⅱ ,  
279,280,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.39 ,6.96 ,2.6 ,0.24 ,Ⅱ ,Ⅲ ,  
280,281,四川宜宾凉姜沟 ,岷江（入长江前） ,8.21 ,8.96 ,1 ,0.07 ,Ⅰ ,Ⅱ ,  
281,282,四川泸州沱江二桥 ,沱江（入长江前） ,7.15 ,9.45 ,1.7 ,0.08 ,Ⅰ ,Ⅰ ,  
282,283,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.37 ,9.08 ,2 ,0.08 ,Ⅰ ,Ⅱ ,  
283,284,湖南长沙新港 ,湘江（洞庭湖入口） ,6.45 ,8.22 ,1.8 ,0.76 ,Ⅲ ,Ⅱ ,  
284,285,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.47 ,8.88 ,5.7 ,0.48 ,Ⅲ ,Ⅱ ,  
285,286,湖北武汉宗关 ,汉江（入长江前） ,7.96 ,7.63 ,3.3 ,0.13 ,Ⅱ ,Ⅱ ,  
286,287,江西南昌滁槎 ,赣江（鄱阳湖入口） ,8.44 ,9.18 ,2 ,7.05 ,劣Ⅴ ,Ⅳ ,氨氮 
287,288,江西九江蛤蟆石 ,鄱阳湖出口 ,8.04 ,7.95 ,6.1 ,0.22 ,Ⅳ ,Ⅱ ,高锰酸盐指数 
288,289,江苏扬州三江营 ,夹江（南水北调取水口） ,7.88 ,8.13 ,3.1 ,0.27 ,Ⅱ ,Ⅲ ,  
289,290,四川攀枝花龙洞,干流,7.93 ,9.34 ,2.8 ,0.06 ,Ⅱ ,Ⅰ ,  
290,291,重庆朱沱 ,干流（川-渝省界） ,8.29 ,9.89 ,2 ,0.27 ,Ⅱ ,Ⅱ ,  
291,292,湖北宜昌南津关 ,干流（三峡水库出口） ,7.86 ,9 ,1.9 ,0.24 ,Ⅱ ,Ⅱ ,  
292,293,湖南岳阳城陵矶 ,干流 ,7.95 ,7.59 ,2.6 ,0.36 ,Ⅱ ,Ⅱ ,  
293,294,江西九江河西水厂 ,干流（鄂-赣省界） ,7.42 ,8.51 ,2.2 ,0.22 ,Ⅱ ,Ⅱ ,  
294,295,安徽安庆皖河口 ,干流 ,7.43 ,6.75 ,2.2 ,0.12 ,Ⅱ ,Ⅱ ,  
295,296,江苏南京林山 ,干流（皖-苏省界） ,7.78 ,6.31 ,1.8 ,0.05 ,Ⅱ ,Ⅱ ,  
296,297,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.49 ,7.21 ,2.6 ,0.19 ,Ⅱ ,Ⅱ ,  
297,298,四川宜宾凉姜沟 ,岷江（入长江前） ,7.96 ,9.21 ,3 ,0.11 ,Ⅱ ,Ⅰ ,  
298,299,四川泸州沱江二桥 ,沱江（入长江前） ,8.3 ,8.92 ,3.2 ,0.15 ,Ⅱ ,Ⅰ ,  
299,300,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.18 ,11.7 ,2 ,0.14 ,Ⅰ ,Ⅰ ,  
300,301,湖南长沙新港 ,湘江（洞庭湖入口） ,7.43 ,6.91 ,2.4 ,0.75 ,Ⅲ ,Ⅲ ,  
301,302,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.37 ,8.41 ,5 ,0.38 ,Ⅲ ,Ⅲ ,  
302,303,湖北武汉宗关 ,汉江（入长江前） ,7.93 ,8.77 ,3.9 ,0.14 ,Ⅱ ,Ⅱ ,  
303,304,江西南昌滁槎 ,赣江（鄱阳湖入口） ,8 ,7.36 ,7.1 ,5.37 ,劣Ⅴ ,劣Ⅴ ,氨氮 
304,305,江西九江蛤蟆石 ,鄱阳湖出口 ,8.03 ,7.3 ,9.2 ,0.27 ,Ⅳ ,Ⅳ ,高锰酸盐指数 
305,306,江苏扬州三江营 ,夹江（南水北调取水口） ,7.92 ,9.09 ,2.5 ,0.21 ,Ⅱ ,Ⅱ ,  
306,307,四川攀枝花龙洞,干流,7.87 ,10.3 ,1.6 ,0.08 ,Ⅰ ,Ⅱ ,
307,308,重庆朱沱 ,干流（川-渝省界） ,8.25 ,10.4 ,1.3 ,0.51 ,Ⅲ ,Ⅱ ,
308,309,湖北宜昌南津关 ,干流（三峡水库出口） ,8.3 ,9.07 ,2.4 ,0.16 ,Ⅱ ,Ⅱ ,
309,310,湖南岳阳城陵矶 ,干流 ,8.05 ,8.47 ,3.5 ,0.31 ,Ⅱ ,Ⅱ ,
310,311,江西九江河西水厂 ,干流（鄂-赣省界） ,8 ,8.84 ,2.3 ,0.12 ,Ⅱ ,Ⅱ ,
311,312,安徽安庆皖河口 ,干流 ,7.42 ,8.65 ,1.7 ,0.14 ,Ⅰ ,Ⅱ ,  
312,313,江苏南京林山 ,干流（皖-苏省界） ,7.83 ,9.66 ,2 ,0.1 ,Ⅰ ,Ⅱ ,  
313,314,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.37 ,6.37 ,3.6 ,0.58 ,Ⅲ ,Ⅱ ,  
314,315,四川宜宾凉姜沟 ,岷江（入长江前） ,8.17 ,9.32 ,1.6 ,0.24 ,Ⅱ ,Ⅱ ,  
315,316,四川泸州沱江二桥 ,沱江（入长江前） ,8.28 ,7.76 ,2.6 ,0.28 ,Ⅱ ,Ⅱ ,  
316,317,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.18 ,12.7 ,2.1 ,0.08 ,Ⅱ ,Ⅰ ,  
317,318,湖南长沙新港 ,湘江（洞庭湖入口） ,7.19 ,8.92 ,1.1 ,1.46 ,Ⅳ ,Ⅲ ,氨氮 
318,319,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.45 ,9.41 ,3.9 ,0.34 ,Ⅱ ,Ⅲ ,  
319,320,湖北武汉宗关 ,汉江（入长江前） ,7.86 ,8.89 ,4.2 ,0.15 ,Ⅲ ,Ⅱ ,  
320,321,江西南昌滁槎 ,赣江（鄱阳湖入口） ,9.26 ,9.3 ,4.3 ,11.3 ,劣Ⅴ ,劣Ⅴ ,pH，氨氮 
321,322,江西九江蛤蟆石 ,鄱阳湖出口 ,8.36 ,9.24 ,8.5 ,0.34 ,Ⅳ ,Ⅳ ,高锰酸盐指数 
322,323,江苏扬州三江营 ,夹江（南水北调取水口） ,7.95 ,10.8 ,4.8 ,0.17 ,Ⅲ ,Ⅱ ,  
323,324,四川攀枝花龙洞,干流,8.5 ,10.2 ,1.2 ,0.07 ,Ⅰ ,Ⅰ ,  
324,325,重庆朱沱 ,干流（川-渝省界） ,8.31 ,11.1 ,1.3 ,0.54 ,Ⅲ ,Ⅲ ,  
325,326,湖北宜昌南津关 ,干流（三峡水库出口） ,8.11 ,9.2 ,1.9 ,0.22 ,Ⅱ ,Ⅱ ,  
326,327,湖南岳阳城陵矶 ,干流 ,8.12 ,8.35 ,5.1 ,0.42 ,Ⅲ ,Ⅱ ,  
327,328,江西九江河西水厂 ,干流（鄂-赣省界） ,6.89 ,11.3 ,2.4 ,0.21 ,Ⅱ ,Ⅱ ,  
328,329,安徽安庆皖河口 ,干流 ,7.35 ,9.05 ,2.6 ,0.2 ,Ⅱ ,Ⅰ ,  
329,330,江苏南京林山 ,干流（皖-苏省界） ,7.78 ,11.1 ,2.5 ,0.22 ,Ⅱ ,Ⅰ ,  
330,331,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.43 ,6.41 ,4.6 ,1.6 ,Ⅴ ,Ⅲ ,氨氮 
331,332,四川宜宾凉姜沟 ,岷江（入长江前） ,8.35 ,11.3 ,0.9 ,0.35 ,Ⅱ ,Ⅱ ,  
332,333,四川泸州沱江二桥 ,沱江（入长江前） ,8.35 ,8.8 ,2.7 ,0.22 ,Ⅱ ,Ⅱ ,  
333,334,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.37 ,11.5 ,1.8 ,0.08 ,Ⅰ ,Ⅱ ,  
334,335,湖南长沙新港 ,湘江（洞庭湖入口） ,7.07 ,10.2 ,2.1 ,0.92 ,Ⅲ ,Ⅳ ,  
335,336,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.39 ,11.2 ,5.4 ,0.84 ,Ⅲ ,Ⅱ ,  
336,337,湖北武汉宗关 ,汉江（入长江前） ,8.06 ,9.21 ,4.3 ,0.22 ,Ⅲ ,Ⅲ ,  
337,338,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.52 ,7.2 ,4.5 ,6.02 ,劣Ⅴ ,劣Ⅴ ,氨氮 
338,339,江西九江蛤蟆石 ,鄱阳湖出口 ,7.84 ,11.2 ,3.1 ,0.47 ,Ⅱ ,Ⅳ ,  
339,340,江苏扬州三江营 ,夹江（南水北调取水口） ,7.9 ,11.2 ,2.6 ,0.42 ,Ⅱ ,Ⅲ ,  
340,341,四川攀枝花龙洞,干流,8.52  ,9.38  ,0.9  ,0.15  ,Ⅰ  ,Ⅰ ,   
341,342,重庆朱沱 ,干流（川-渝省界） ,8.24  ,10.7  ,1.8  ,0.55  ,Ⅲ  ,Ⅲ ,
342,343,湖北宜昌南津关 ,干流（三峡水库出口） ,7.93  ,10.4  ,2  ,0.18  ,Ⅱ  ,Ⅱ ,
343,344,湖南岳阳城陵矶 ,干流 ,7.81  ,9.65  ,3.2  ,0.43  ,Ⅱ  ,Ⅲ ,
344,345,江西九江河西水厂 ,干流（鄂-赣省界） ,6.99  ,11.2  ,3.1  ,0.13  ,Ⅱ  ,Ⅱ ,
345,346,安徽安庆皖河口 ,干流 ,7.36  ,9.45  ,2.7  ,0.18  ,Ⅱ  ,Ⅱ ,
346,347,江苏南京林山 ,干流（皖-苏省界） ,7.66  ,10.5  ,2.3  ,0.31  ,Ⅱ  ,Ⅱ ,   
347,348,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.42  ,5.62  ,4  ,1.98  ,Ⅴ  ,Ⅴ ,氨氮  
348,349,四川宜宾凉姜沟 ,岷江（入长江前） ,8.32  ,10.2  ,1.3  ,0.4  ,Ⅱ  ,Ⅱ ,   
349,350,四川泸州沱江二桥 ,沱江（入长江前） ,8.27  ,8.31  ,2.5  ,0.29  ,Ⅱ  ,Ⅱ ,   
350,351,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.1  ,12  ,2  ,0.06  ,Ⅰ  ,Ⅰ ,   
351,352,湖南长沙新港 ,湘江（洞庭湖入口） ,7.24  ,11  ,2.1  ,1.26  ,Ⅳ  ,Ⅲ ,氨氮  
352,353,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.42  ,14.7  ,6.5  ,0.9  ,Ⅳ  ,Ⅲ ,高锰酸盐指数  
353,354,湖北武汉宗关 ,汉江（入长江前） ,8.04  ,9.4  ,3.4  ,0.17  ,Ⅱ  ,Ⅲ ,   
354,355,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.81  ,6.65  ,1.8  ,3.01  ,劣Ⅴ  ,劣Ⅴ ,氨氮  
355,356,江西九江蛤蟆石 ,鄱阳湖出口 ,8.18  ,11.3  ,1.8  ,0.42  ,Ⅱ  ,Ⅱ ,   
356,357,江苏扬州三江营 ,夹江（南水北调取水口） ,7.84  ,11.5  ,2.8  ,0.36  ,Ⅱ  ,Ⅱ ,   
357,358,四川攀枝花龙洞,干流,8.33  ,9.6  ,1.1  ,0.26  ,Ⅱ  ,Ⅰ  ,   
358,359,重庆朱沱 ,干流（川-渝省界） ,8.09  ,10.4  ,1.9  ,0.54  ,Ⅲ  ,Ⅲ  ,   
359,360,湖北宜昌南津关 ,干流（三峡水库出口） ,7.16  ,9.6  ,2.1  ,0.19  ,Ⅱ  ,Ⅱ  ,   
360,361,湖南岳阳城陵矶 ,干流 ,7.72  ,10.7  ,4.1  ,0.42  ,Ⅲ  ,Ⅱ  ,   
361,362,江西九江河西水厂 ,干流（鄂-赣省界） ,8.21  ,9.91  ,1.8  ,0.11  ,Ⅰ  ,Ⅱ  ,   
362,363,安徽安庆皖河口 ,干流 ,7.32  ,8.86  ,2.7  ,0.23  ,Ⅱ  ,Ⅱ  ,   
363,364,江苏南京林山 ,干流（皖-苏省界） ,7.64  ,10.5  ,1.8  ,0.02  ,Ⅰ  ,Ⅱ  ,   
364,365,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.25  ,5.26  ,4.3  ,0.82  ,Ⅲ  ,Ⅴ  ,   
365,366,四川宜宾凉姜沟 ,岷江（入长江前） ,8.27  ,8.88  ,1.1  ,0.32  ,Ⅱ  ,Ⅱ  ,   
366,367,四川泸州沱江二桥 ,沱江（入长江前） ,8.23  ,7.68  ,2.7  ,0.38  ,Ⅱ  ,Ⅱ  ,   
367,368,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.16  ,12.3  ,1.8  ,0.08  ,Ⅰ  ,Ⅰ  ,   
368,369,湖南长沙新港 ,湘江（洞庭湖入口） ,6.95  ,11.8  ,4.3  ,0.9  ,Ⅲ  ,Ⅳ  ,   
369,370,湖南岳阳岳阳楼 ,洞庭湖出口 ,7.55  ,7.78  ,5.7  ,0.57  ,Ⅲ  ,Ⅳ  ,   
370,371,湖北武汉宗关 ,汉江（入长江前） ,7.83  ,9.3  ,2.9  ,0.19  ,Ⅱ  ,Ⅱ  ,   
371,372,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.53  ,6.18  ,0.7  ,1.48  ,Ⅳ  ,劣Ⅴ  ,氨氮  
372,373,江西九江蛤蟆石 ,鄱阳湖出口 ,7.93  ,10.6  ,3.3  ,0.23  ,Ⅱ  ,Ⅱ  ,   
373,374,江苏扬州三江营 ,夹江（南水北调取水口） ,7.78  ,11.4  ,3  ,0.31  ,Ⅱ  ,Ⅱ  ,   
374,375,四川攀枝花龙洞,干流,8.28  ,9.03  ,1.1  ,0.1  ,Ⅰ  ,Ⅱ  ,   
375,376,重庆朱沱 ,干流（川-渝省界） ,8.12  ,8.59  ,2  ,0.63  ,Ⅲ  ,Ⅲ  ,   
376,377,湖北宜昌南津关 ,干流（三峡水库出口） ,7.9  ,8.22  ,2.4  ,0.13  ,Ⅱ  ,Ⅱ  ,   
377,378,湖南岳阳城陵矶 ,干流 ,7.78  ,7.48  ,2.9  ,0.42  ,Ⅱ  ,Ⅲ  ,   
378,379,江西九江河西水厂 ,干流（鄂-赣省界） ,7.65  ,7.71  ,2  ,0.14  ,Ⅰ  ,Ⅰ  ,   
379,380,安徽安庆皖河口 ,干流 ,7.25  ,8.65  ,2.3  ,0.15  ,Ⅱ  ,Ⅱ  ,   
380,381,江苏南京林山 ,干流（皖-苏省界） ,7.51  ,6.89  ,1.5  ,0.2  ,Ⅱ  ,Ⅰ  ,   
381,382,四川乐山岷江大桥 ,岷江（与大渡河汇合前） ,7.15  ,3.61  ,6.9  ,0.86  ,Ⅳ  ,Ⅲ  ,高锰酸盐指数，溶解氧  
382,383,四川宜宾凉姜沟 ,岷江（入长江前） ,8.25  ,7.73  ,2  ,0.26  ,Ⅱ  ,Ⅱ  ,   
383,384,四川泸州沱江二桥 ,沱江（入长江前） ,8.03  ,9.67  ,3.4  ,0.14  ,Ⅱ  ,Ⅱ  ,   
384,385,湖北丹江口胡家岭 ,丹江口水库（库体） ,8.21  ,9.22  ,2  ,0.08  ,Ⅰ  ,Ⅰ  ,
385,386,湖南长沙新港 ,湘江（洞庭湖入口） ,6.98  ,7.45  ,2.2  ,0.82  ,Ⅲ  ,Ⅲ  ,
386,387,湖南岳阳岳阳楼 ,洞庭湖出口 ,8.55  ,8.4  ,5.5  ,0.32  ,Ⅲ  ,Ⅲ  ,
387,388,湖北武汉宗关 ,汉江（入长江前） ,7.93  ,8.3  ,2.2  ,0.08  ,Ⅱ  ,Ⅱ  ,
388,389,江西南昌滁槎 ,赣江（鄱阳湖入口） ,7.42  ,6.18  ,0.5  ,0.99  ,Ⅲ  ,Ⅳ  ,
389,390,江西九江蛤蟆石 ,鄱阳湖出口 ,7.65  ,8.36  ,2.3  ,0.19  ,Ⅱ  ,Ⅱ  ,
390,391,江苏扬州三江营 ,夹江（南水北调取水口） ,7.71  ,11.1  ,3.8  ,0.14  ,Ⅱ  ,Ⅱ  ,
391,392,四川攀枝花龙洞,干流,8.71  ,8.38  ,2.5  ,0.07  ,Ⅱ  ,Ⅰ  ,
392,393,重庆朱沱 ,干流（川-渝省界） ,7.84  ,7.44  ,1.3  ,0.51  ,Ⅲ  ,Ⅲ  ,
393,394,湖北宜昌南津关 ,干流（三峡水库出口） ,7.84  ,7.88  ,2.4  ,0.22  ,Ⅱ  ,Ⅱ  ,
394,395,湖南岳阳城陵矶 ,干流 ,7.93  ,11  ,3  ,0.19  ,Ⅱ  ,Ⅱ  ,
395,396,江西九江河西水厂 ,干流（鄂-赣省界） ,7.3  ,7.42  ,2  ,0.07  ,Ⅱ  ,Ⅰ  ,
396,397,安徽安庆皖河口 ,干流 ,7.27  ,6.65  ,2.9  ,0.29  ,Ⅱ  ,Ⅱ  ,
397,398,江苏南京林山 ,干流（皖-苏省界） ,7.58  ,6.07  ,1.4  ,0.04  ,Ⅱ  ,Ⅱ  ,
